,brand_name,brand_detail,brand_price,brand_discount
0,CAMPUS,FIRST Running Shoes For Men,"₹1,379",27% off
1,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹399,80% off
2,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
3,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹249,87% off
4,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
5,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
6,Oidoribo,Casual Sneakers ColourFul Block Shoes For Boys And Snea...,₹336,66% off
7,ATOM,Sneakers For Men,"₹1,389",57% off
8,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
9,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
10,Airson,Sports shoes for men|Stylish Casual sport shoes for men...,₹439,60% off
11,CAMPUS,ALICE Running Shoes For Women,₹999,28% off
12,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
13,aadi,Running Shoes For Men,₹394,80% off
14,aadi,Sneakers For Men,₹299,85% off
15,Nobelite,Sneakers For Men,₹289,71% off
16,RapidBox,High Tops For Men,₹559,44% off
17,RapidBox,Sneakers For Men,₹559,44% off
18,jaipur trendcraft,Slip On For Men,₹349,65% off
19,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
20,RED TAPE,"Walking Sports Shoes for Men | Soft Cushioned Insole, S...","₹1,631",76% off
21,Layasa,Sneakers For Women,₹399,80% off
22,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹199,80% off
23,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
24,AJANTA,Casual Loafers For Men,₹294,57% off
25,Nobelite,Casuals For Men,₹279,79% off
26,RapidBox,Sneakers For Men,₹699,30% off
27,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹499,75% off
28,asian,Sneakers For Men,₹724,57% off
29,AJANTA,Casual Loafers For Men,₹294,57% off
30,REEBOK,Energen M Running Shoes For Men,"₹2,033",46% off
31,richerson,100 % GENIUME LEATHER CAUSAL SHOES Casuals For Men,₹979,70% off
32,AJANTA,Casual Loafers For Men,₹294,57% off
33,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
34,jaipur trendcraft,"Men's Jalsa Jutti,Jutis For Men BLACK Slip On For Men",₹349,65% off
35,SFR,High Tops For Men,₹299,70% off
36,CLYMB,Running Shoes For Men,₹599,40% off
37,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,70% off
38,BRUTON,Combo Pack of 2 Sports Shoes Running Shoes For Men Runn...,₹399,84% off
39,aadi,Mesh| Lightweight| Premiun| Comfort| Summer Tendy| Outd...,₹299,70% off
40,CAMPUS,FIRST Running Shoes For Men,"₹1,379",27% off
41,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹399,80% off
42,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
43,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹249,87% off
44,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
45,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
46,Oidoribo,Casual Sneakers ColourFul Block Shoes For Boys And Snea...,₹336,66% off
47,ATOM,Sneakers For Men,"₹1,389",57% off
48,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
49,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
50,RapidBox,Sneakers For Men,₹559,44% off
51,Airson,Sports shoes for men|Stylish Casual sport shoes for men...,₹439,60% off
52,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
53,aadi,Running Shoes For Men,₹394,80% off
54,aadi,Sneakers For Men,₹299,85% off
55,Nobelite,Sneakers For Men,₹289,71% off
56,CAMPUS,ALICE Running Shoes For Women,₹999,28% off
57,RapidBox,High Tops For Men,₹559,44% off
58,jaipur trendcraft,Slip On For Men,₹349,65% off
59,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
60,RED TAPE,"Walking Sports Shoes for Men | Soft Cushioned Insole, S...","₹1,631",76% off
61,Layasa,Sneakers For Women,₹399,80% off
62,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹199,80% off
63,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
64,AJANTA,Casual Loafers For Men,₹294,57% off
65,Nobelite,Casuals For Men,₹279,79% off
66,RapidBox,Sneakers For Men,₹699,30% off
67,JQR,"BOXING Sports shoes, Running, Walking, Lightweight, Gym...","₹1,297",41% off
68,asian,Sneakers For Men,₹724,57% off
69,AJANTA,Casual Loafers For Men,₹294,57% off
70,asian,"asian Thunder-01 White Color Change Sneakers,Casuals,Lo...",₹724,57% off
71,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹499,75% off
72,AJANTA,Casual Loafers For Men,₹294,57% off
73,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
74,jaipur trendcraft,"Men's Jalsa Jutti,Jutis For Men BLACK Slip On For Men",₹349,65% off
75,SFR,High Tops For Men,₹299,70% off
76,richerson,100 % GENIUME LEATHER CAUSAL SHOES Casuals For Men,₹979,70% off
77,CLYMB,Running Shoes For Men,₹599,40% off
78,BRUTON,Combo Pack of 2 Sports Shoes Running Shoes For Men Runn...,₹399,84% off
79,aadi,Mesh| Lightweight| Premiun| Comfort| Summer Tendy| Outd...,₹299,70% off
80,HOTSTYLE,Combo Pack Of 2 Running Shoes For Men,₹459,63% off
81,CAMPUS,FIRST Running Shoes For Men,"₹1,379",27% off
82,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
83,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
84,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
85,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
86,KANEGGYE,Casuals For Men,₹499,50% off
87,RapidBox,Sneakers For Men,₹559,44% off
88,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
89,aadi,Running Shoes For Men,₹394,80% off
90,ATOM,Sneakers For Men,"₹1,389",57% off
91,asian,"asian Thunder-01 White Color Change Sneakers,Casuals,Lo...",₹724,57% off
92,Nobelite,Sneakers For Men,₹289,71% off
93,aadi,Sneakers For Men,₹299,85% off
94,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
95,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹249,87% off
96,Elevarse,Slip On Sneakers For Men,₹249,72% off
97,RapidBox,Sneakers For Men,₹699,30% off
98,KANEGGYE,Casuals For Men,₹499,50% off
99,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
100,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,70% off
101,RapidBox,Sneakers For Men,₹559,44% off
102,AJANTA,Casual Loafers For Men,₹294,57% off
103,AJANTA,Casual Loafers For Men,₹294,57% off
104,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹199,80% off
105,Nobelite,Casuals For Men,₹279,79% off
106,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹499,75% off
107,Paragon,K1201G Cricket Gym Sports Comfortable Daily Outdoor Wal...,₹659,45% off
108,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
109,asian,"Thunder-01 White Color Change Sneakers,Casuals,Loafer S...",₹724,57% off
110,BERSACHE,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,₹499,87% off
111,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,57% off
112,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
113,AJANTA,Casual Loafers For Men,₹294,57% off
114,KANEGGYE,Casuals For Men,₹499,50% off
115,aadi,Synthetic Leather| Ultralightweight | Comfortable | Bre...,₹279,86% off
116,ATOM,Sneakers For Men,"₹1,285",61% off
117,RED TAPE,"Walking Sports Shoes for Men | Soft Cushioned Insole, S...","₹1,631",76% off
118,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹299,85% off
119,SFR,High Tops For Men,₹299,70% off
120,HOTSTYLE,Combo Pack Of 2 Running Shoes For Men,₹459,63% off
121,Elevarse,Slip On Sneakers For Men,₹249,72% off
122,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
123,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
124,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
125,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
126,KANEGGYE,Casuals For Men,₹499,50% off
127,RapidBox,Sneakers For Men,₹559,44% off
128,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
129,Nobelite,Sneakers For Men,₹289,71% off
130,asian,"asian Thunder-01 White Color Change Sneakers,Casuals,Lo...",₹724,57% off
131,RapidBox,Sneakers For Men,₹699,30% off
132,aadi,Running Shoes For Men,₹394,80% off
133,aadi,Sneakers For Men,₹299,85% off
134,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
135,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹249,87% off
136,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,57% off
137,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,70% off
138,KANEGGYE,Casuals For Men,₹499,50% off
139,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
140,BRUTON,Combo Fit-Man Red & Blue Loafers For Men,₹384,84% off
141,RapidBox,Sneakers For Men,₹559,44% off
142,AJANTA,Casual Loafers For Men,₹294,57% off
143,AJANTA,Casual Loafers For Men,₹294,57% off
144,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹199,80% off
145,Nobelite,Casuals For Men,₹279,79% off
146,ATOM,Sneakers For Men,"₹1,389",57% off
147,HOTSTYLE,Stylish & Trendy Loafers For Men,₹279,72% off
148,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
149,asian,"Thunder-01 White Color Change Sneakers,Casuals,Loafer S...",₹724,57% off
150,CAMPUS,FIRST Running Shoes For Men,"₹1,379",27% off
151,M7 By Metronaut,M7-22509-Zebra L.Grey Orange Running Shoes For Men,₹594,70% off
152,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
153,AJANTA,Casual Loafers For Men,₹294,57% off
154,KANEGGYE,Casuals For Men,₹499,50% off
155,SFR,High Tops For Men,₹299,70% off
156,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹499,75% off
157,BERSACHE,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,₹499,87% off
158,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹299,85% off
159,aadi,Mesh| Lightweight| Premiun| Comfort| Summer Tendy| Outd...,₹299,70% off
160,HOTSTYLE,Combo Pack Of 2 Running Shoes For Men,₹459,63% off
161,Elevarse,Slip On Sneakers For Men,₹249,72% off
162,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
163,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
164,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
165,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
166,KANEGGYE,Casuals For Men,₹499,50% off
167,RapidBox,Sneakers For Men,₹559,44% off
168,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
169,Nobelite,Sneakers For Men,₹289,71% off
170,asian,"asian Thunder-01 White Color Change Sneakers,Casuals,Lo...",₹724,57% off
171,ATOM,Sneakers For Men,"₹1,389",57% off
172,aadi,Running Shoes For Men,₹394,80% off
173,aadi,Sneakers For Men,₹299,85% off
174,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
175,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹249,87% off
176,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,57% off
177,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,70% off
178,KANEGGYE,Casuals For Men,₹499,50% off
179,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
180,BRUTON,Combo Fit-Man Red & Blue Loafers For Men,₹384,84% off
181,RapidBox,Sneakers For Men,₹559,44% off
182,AJANTA,Casual Loafers For Men,₹294,57% off
183,AJANTA,Casual Loafers For Men,₹294,57% off
184,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹199,80% off
185,Nobelite,Casuals For Men,₹279,79% off
186,HOTSTYLE,Stylish & Trendy Loafers For Men,₹279,72% off
187,M7 By Metronaut,M7-22509-Zebra L.Grey Orange Running Shoes For Men,₹594,70% off
188,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
189,asian,"Thunder-01 White Color Change Sneakers,Casuals,Loafer S...",₹724,57% off
190,CAMPUS,FIRST Running Shoes For Men,"₹1,379",27% off
191,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹499,75% off
192,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
193,AJANTA,Casual Loafers For Men,₹294,57% off
194,KANEGGYE,Casuals For Men,₹499,50% off
195,SFR,High Tops For Men,₹299,70% off
196,RapidBox,Sneakers For Men,₹699,30% off
197,aadi,Casuals For Men,₹294,70% off
198,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹299,85% off
199,aadi,Mesh| Lightweight| Premiun| Comfort| Summer Tendy| Outd...,₹299,70% off
